	x	y	time
t_0_obs_0	164.5	567.5	0
t_0_obs_1	280.5	300.5	0
t_0_obs_2	408.5	170.5	0
t_0_obs_3	1041.5	407.5	0
t_0_obs_4	382.5	639.5	0
t_0_obs_5	115.5	467.5	0
t_0_obs_6	250.5	276.5	0
t_0_obs_7	681.5	23.5	0
t_0_obs_8	834.5	217.5	0
t_0_obs_9	932.5	554.5	0
t_0_obs_10	1021.5	398.5	0
t_0_obs_11	959.5	218.5	0
t_0_obs_12	486.5	449.5	0
t_0_obs_13	74.5	459.5	0
t_0_obs_14	116.5	525.5	0
t_0_obs_15	391.5	677.5	0
t_0_obs_16	953.5	181.5	0
t_0_obs_17	52.5	517.5	0
t_0_obs_18	358.5	145.5	0
t_0_obs_19	195.5	597.5	0
t_0_obs_20	507.5	158.5	0
t_0_obs_21	15.5	501.5	0
t_0_obs_22	352.5	463.5	0
t_0_obs_23	807.5	196.5	0
t_0_obs_24	467.5	183.5	0
t_0_obs_25	966.5	552.5	0
t_0_obs_26	523.5	436.5	0
t_0_obs_27	249.5	46.5	0
t_0_obs_28	370.5	438.5	0
t_1_obs_0	193.5	600.5	1
t_1_obs_1	382.5	642.5	1
t_1_obs_2	681.5	20.5	1
t_1_obs_3	388.5	678.5	1
t_1_obs_4	166.5	570.5	1
t_1_obs_5	835.5	217.5	1
t_1_obs_6	470.5	179.5	1
t_1_obs_7	489.5	450.5	1
t_1_obs_8	277.5	296.5	1
t_1_obs_9	1039.5	408.5	1
t_1_obs_10	243.5	276.5	1
t_1_obs_11	522.5	440.5	1
t_1_obs_12	954.5	185.5	1
t_1_obs_13	957.5	220.5	1
t_1_obs_14	116.5	468.5	1
t_1_obs_15	113.5	521.5	1
t_1_obs_16	938.5	555.5	1
t_1_obs_17	76.5	457.5	1
t_1_obs_18	508.5	156.5	1
t_1_obs_19	1022.5	396.5	1
t_1_obs_20	56.5	515.5	1
t_1_obs_21	807.5	196.5	1
t_1_obs_22	360.5	148.5	1
t_1_obs_23	18.5	506.5	1
t_1_obs_24	249.5	46.5	1
t_1_obs_25	401.5	173.5	1
t_1_obs_26	353.5	462.5	1
t_1_obs_27	191.5	19.5	1
t_1_obs_28	375.5	437.5	1
t_1_obs_29	249.5	2.5	1
t_1_obs_30	969.5	553.5	1
t_1_obs_31	169.5	24.5	1
t_2_obs_0	942.5	553.5	2
