	x	y	time	cell
0	83.99048447699687	156.42069462416097	0	0
1	385.2048170418284	91.8394610652224	0	1
2	30.69906261444383	254.31219412263724	0	2
3	483.63408338197206	114.75000492658921	0	3
4	197.45405445216807	187.14983701624567	0	4
5	322.41303768669303	50.365479602341225	0	5
6	474.3107519245996	345.8912524522581	0	6
7	19.125584849391586	326.95582246267185	0	7
8	438.1727664232546	165.1630427209435	0	8
9	130.42829820306127	20.188953073051298	0	9
0	88.58099034214779	156.697565003363	1	0
1	388.79628688176336	87.11830037498781	1	1
2	28.469653644652173	253.84624059759932	1	2
3	482.3617425743777	116.65828062029216	1	3
4	198.114860081283	192.43896058328053	1	4
5	322.7337505697971	49.39051155078631	1	5
6	473.3651992884298	343.5613224982167	1	6
7	17.681502420997855	315.9670439334141	1	7
8	439.04008098304826	163.6872503805502	1	8
9	128.5800220038477	17.669614254529684	1	9
0	88.12422073881227	156.85997375364968	2	0
1	386.6821115889134	85.50907792426277	2	1
2	26.461837100100826	260.88906879149255	2	2
3	484.0673270672721	124.79921086694877	2	3
4	201.26461123809736	193.91427207401517	2	4
5	322.4440516296363	43.96320340007927	2	5
6	470.1931660530604	346.8374307049995	2	6
7	12.595394119829976	316.88440288925364	2	7
8	436.3100311764544	164.239380073224	2	8
9	131.6545310441625	15.020255305840696	2	9
0	84.21556483308545	157.56800770165964	3	0
1	381.83940792093983	86.34950341851741	3	1
2	30.270493737309618	265.40593012665386	3	2
3	484.3561366376887	126.42576523723142	3	3
4	198.55500276059342	192.03402728401883	3	4
5	320.5683567241288	44.41616538696078	3	5
6	469.8326149129679	349.45883493678565	3	6
7	18.799873100346975	313.99092174190105	3	7
8	434.62952132093193	159.61842043740802	3	8
9	133.2618075421974	10.829434954640874	3	9
0	80.54460440042936	157.2527053761718	4	0
1	382.4655142754594	85.86513420173117	4	1
2	28.358298678579477	265.2460644877665	4	2
3	480.7801076650803	129.3598040454834	4	3
4	195.56077039079008	181.2884959563372	4	4
5	322.73838145765416	49.20163750172008	4	5
6	466.9785427855229	351.443642203818	4	6
7	17.342399632516344	318.4561475267483	4	7
8	430.4166058022039	162.23678002361365	4	8
9	126.31713741132846	10.287964740741266	4	9
0	80.69266661433593	156.63697074873537	5	0
1	383.16510150482014	82.94318468048759	5	1
2	29.00519546830534	265.85887933098275	5	2
3	485.7191380790996	128.10885706944487	5	3
4	192.83615539610116	179.68991495782254	5	4
5	319.41796511603246	49.72526523425045	5	5
6	465.0394073859926	349.36020377712487	5	6
7	17.4939645955386	320.50238870950074	5	7
8	436.1021694073723	160.27248252823415	5	8
9	123.67894113194143	9.962739804730658	5	9
0	80.05056401807293	152.8543937454668	6	0
1	379.52513413486554	85.14836195096206	6	1
2	28.366050214860813	261.3669846432757	6	2
3	489.19954672180575	132.30523380684122	6	3
4	195.24182094754713	173.6958334556924	6	4
5	319.7686033616484	46.74954548104535	6	5
6	466.3214212874717	344.86801617357065	6	6
7	18.869899992162527	324.99606306961977	6	7
8	435.96847387320935	162.4265265941919	6	8
9	124.06020068142548	9.95825264942271	6	9
0	76.86768360565043	153.22203508389111	7	0
1	378.85344964910036	83.58748578255158	7	1
2	27.616651404647083	260.0445591343819	7	2
3	494.5315446186034	130.68711132437755	7	3
4	197.58499073070368	168.76516345395348	7	4
5	315.87914898008586	51.1185631872797	7	5
6	468.4194964065346	346.6447499305944	7	6
7	20.319012622061088	323.1770785862335	7	7
8	435.5612431476236	160.00529885459935	7	8
9	124.95314172309939	14.938617856150573	7	9
0	79.68478538380383	156.9260335597184	8	0
1	379.82223019643936	83.64647546567272	8	1
2	28.761152158558318	264.88075368926496	8	2
3	494.88317068106625	133.5102420087097	8	3
4	198.07615031196372	169.57744337692503	8	4
5	318.3764678169865	52.424610668074095	8	5
6	468.40168153154974	346.91448950076835	8	6
7	17.269611572033227	322.0303795130652	8	7
8	433.1166509122737	160.89644286513706	8	8
9	124.9456233550619	17.83701812923973	8	9
0	80.06056757743099	157.25976219840396	9	0
1	379.84504605854374	83.62595942002959	9	1
2	30.97356747836028	268.0318674058494	9	2
3	495.103677292068	130.22128322946662	9	3
4	199.43427128102766	164.08026512272258	9	4
5	316.35658245380216	52.03836117264095	9	5
6	468.8256798226891	352.4574185949685	9	6
7	17.88501949336166	321.253282882224	9	7
8	438.5740600729446	166.6991792094382	9	8
9	123.53830311106596	22.20611230735968	9	9
0	78.00731316098356	160.92539565355776	10	0
1	382.8532279374351	80.37240704735738	10	1
2	26.066536721835213	274.4227697390412	10	2
3	492.01002660381903	132.33564399248476	10	3
4	206.57932060887185	163.81117328019508	10	4
5	323.3501472318811	53.37986804367063	10	5
6	472.52543638916865	345.5851285694297	10	6
7	13.724688213182558	318.487145630074	10	7
8	441.33164774666363	172.51221792075808	10	8
9	122.50176019937237	19.783850801838785	10	9
0	74.49635790049447	162.8396826914195	11	0
1	384.82485802491635	77.17486588899678	11	1
2	25.75671651409657	270.5937494011248	11	2
3	488.7278665275933	128.86279710208322	11	3
4	206.16725772346064	168.70082822887812	11	4
5	324.5952814879023	52.91264021210435	11	5
6	473.67890380457686	344.40853620464617	11	6
7	11.863056114778008	317.9900923815353	11	7
8	447.77310860550966	172.9638275582951	11	8
9	123.5438488512952	20.485146734640086	11	9
0	75.57977391906388	159.07088407943903	12	0
1	386.43039604464434	76.84220057144168	12	1
2	25.400419050505146	275.47199549905497	12	2
3	490.3122318727146	127.90429146882654	12	3
4	208.62667860705773	171.37655377756866	12	4
5	324.09884055218885	50.76371330240049	12	5
6	474.72483980860363	343.2690805854297	12	6
7	17.998303200699326	322.22519160084465	12	7
8	443.99406101825224	173.60565041325643	12	8
9	120.75252246588238	31.827523053698968	12	9
10	104.29089565353378	478.6119158450303	12	11
0	74.80563642533627	162.80637928860563	13	0
1	385.2412565626127	81.90078339987704	13	1
2	21.73814547546099	273.4955858992979	13	2
3	489.3670825706176	127.78049443131717	13	3
4	209.73446644871774	172.03870226119662	13	4
5	324.41359409096367	55.66348117311523	13	5
6	475.33222139520126	344.254474357161	13	6
7	16.571544902500545	317.86909922054383	13	7
8	444.683214559059	170.3770094232481	13	8
9	119.90194987500853	36.23603420851791	13	9
10	105.56592630695985	478.6594336775266	13	11
0	72.3232465068808	163.88654544868294	14	0
1	382.6922574307041	81.0090558659207	14	1
2	25.27587040032705	271.67797676132017	14	2
3	489.21722826880585	122.16554921518821	14	3
4	213.53977496198203	173.64328600249587	14	4
5	325.11281307392056	55.28262597344589	14	5
6	477.18975296204485	347.12694712351265	14	6
7	11.219471576626269	321.9780394465492	14	7
8	440.19164730512625	172.20512502911564	14	8
9	117.3065151533445	34.28659227822714	14	9
10	106.28773630321682	479.9245075796165	14	11
0	69.24998602456692	166.86765775259556	15	0
1	378.4801055269815	76.08793487297268	15	1
2	21.863643160951533	275.29030993874875	15	2
3	485.55059246180485	120.95606999243753	15	3
4	211.08983210089997	176.5270519335717	15	4
5	326.338039873904	57.78222999025702	15	5
6	474.52248429526134	348.1364638910875	15	6
7	14.361624254660034	326.2933665896743	15	7
8	436.1656782550884	173.97810773639526	15	8
9	119.17174316225868	33.11594974536324	15	9
10	106.22580424612204	483.01766445347687	15	11
0	76.8041279656012	165.75661755749317	16	0
1	377.6064192675096	78.16410699179646	16	1
2	23.660500120824786	279.8373999787219	16	2
3	485.0838662725165	122.14874192653531	16	3
4	213.067428751163	180.75668203831123	16	4
5	322.8848488797137	60.883706235792495	16	5
6	476.4858679280743	348.57237492880586	16	6
7	10.524203487464316	326.70120250198835	16	7
8	440.9872133013251	178.48771097290114	16	8
9	118.7246196694468	32.513028294142046	16	9
10	109.54082386266444	481.07541997153163	16	11
0	79.08367149220207	165.83533446321388	17	0
1	380.2282653977944	79.99522981376187	17	1
2	24.88434940300461	277.5522431773404	17	2
3	482.45184400631496	122.11909681231492	17	3
4	213.62361524014037	179.6188681153361	17	4
5	319.06145481324194	64.91793767596276	17	5
6	480.3468492696086	342.68099843182387	17	6
7	7.46388471052906	327.41658466224504	17	7
8	440.0340238732343	173.88468171243937	17	8
9	114.99223078102816	32.257288612037954	17	9
10	114.80953420886357	478.0533527000337	17	11
0	81.25821883462636	166.66153542005662	18	0
1	377.9447308460282	77.47324865848569	18	1
2	18.379410514714646	282.5629599983942	18	2
3	481.20504802912035	122.39032088189329	18	3
4	215.55924915164206	176.4180865122014	18	4
5	319.79275676126485	60.51026166640051	18	5
6	483.83674453039526	341.57957535406774	18	6
7	5.017476638454363	332.3239390838331	18	7
8	440.42329703789767	174.4586281606738	18	8
9	114.6473203456058	29.43255672931761	18	9
10	118.95150102531665	482.9924261099991	18	11
